,LatestPrice,Shares,BaseValue,StressedReturn,PnL,StressedValue
NVDA,188.5399932861328,10.0,1885.3999328613281,-0.6058289076167644,-1142.2297817460994,743.1701511152287
AAPL,273.67999267578125,20.0,5473.599853515625,-0.38745171905288744,-2120.7556726522616,3352.8441808633634
PORTFOLIO,,,7358.999786376953,-0.4434006725260176,-3262.985454398361,4096.014331978592
