Date,AAPL,NVDA,SMH,SPY,TLT,VXX
2023-12-21,192.6783447265625,48.96271896362305,171.96038818359375,461.2962646484375,90.631103515625,68.23999786376953
2023-12-22,191.60946655273438,48.80281066894531,171.98025512695312,462.22332763671875,90.21884155273438,66.44000244140625
2023-12-26,191.0651092529297,49.251556396484375,174.35231018066406,464.1750793457031,90.47533416748047,64.87999725341797
2023-12-27,191.1641082763672,49.389488220214844,174.54087829589844,465.0143127441406,92.07854461669922,62.08000183105469
2023-12-28,191.58966064453125,49.49443054199219,174.50119018554688,465.19000244140625,91.40978240966797,61.91999816894531
2023-12-29,190.5504913330078,49.49443054199219,173.55831909179688,463.8432922363281,90.58527374267578,62.08000183105469
2024-01-02,183.73130798339844,48.14117431640625,167.70257568359375,461.2474365234375,90.06310272216797,62.08000183105469
2024-01-03,182.35557556152344,47.542510986328125,164.72508239746094,457.4806213378906,90.4386978149414,64.4000015258789
2024-01-04,180.0396728515625,47.971275329589844,163.75242614746094,456.0069580078125,89.06452178955078,64.31999969482422
2024-01-05,179.3171844482422,49.06965637207031,164.83425903320312,456.6315612792969,88.2125473022461,62.20000076293945
2024-01-08,183.6521453857422,52.22390365600586,170.67015075683594,463.1504211425781,89.08287048339844,60.7599983215332
2024-01-09,183.23643493652344,53.11041259765625,171.12669372558594,462.44781494140625,88.5148696899414,59.36000061035156
2024-01-10,184.2756805419922,54.31973648071289,171.28549194335938,465.0630798339844,88.10261535644531,58.720001220703125
2024-01-11,183.6818389892578,54.791473388671875,172.25814819335938,464.85821533203125,88.59732055664062,58.400001525878906
2024-01-12,184.0084228515625,54.67953109741211,171.6527099609375,465.1802062988281,88.42324829101562,59.36000061035156
2024-01-16,181.74197387695312,56.350608825683594,174.38209533691406,463.4724426269531,86.86587524414062,61.439998626708984
2024-01-17,180.80172729492188,56.02178955078125,173.3300323486328,460.89617919921875,86.72842407226562,63.7599983215332
2024-01-18,186.69056701660156,57.0752067565918,178.95751953125,464.9947814941406,85.92225646972656,61.560001373291016
2024-01-19,189.59043884277344,59.4578742980957,185.77597045898438,470.79156494140625,86.19708251953125,60.0
2024-01-22,191.896484375,59.62078094482422,186.6394500732422,471.7869567871094,86.71013641357422,58.0
2024-01-23,193.17324829101562,59.839664459228516,187.59225463867188,473.162841796875,86.02301788330078,56.31999969482422
2024-01-24,192.50021362304688,61.32783126831055,190.9270477294922,473.6801452636719,85.51917266845703,57.79999923706055
2024-01-25,192.17359924316406,61.58268737792969,190.9270477294922,476.25640869140625,86.07801055908203,58.439998626708984
2024-01-26,190.4416046142578,60.99701690673828,186.85781860351562,475.6513671875,85.91310119628906,58.119998931884766
2024-01-29,189.7586669921875,62.43021774291992,189.0512237548828,479.4182434082031,86.9024887084961,58.36000061035156
2024-01-30,186.10662841796875,62.73904037475586,187.17539978027344,479.04742431640625,87.69036865234375,57.599998474121094
2024-01-31,182.50405883789062,61.49273681640625,184.47579956054688,471.2306823730469,88.55152893066406,60.52000045776367
2024-02-01,184.9387664794922,62.99190902709961,186.16305541992188,477.3982238769531,90.28853607177734,60.040000915527344
2024-02-02,183.93914794921875,66.12316131591797,189.7856903076172,482.4239196777344,88.2941665649414,59.959999084472656
2024-02-05,185.7502899169922,69.29340362548828,193.48770141601562,480.6673583984375,86.51119232177734,57.599998474121094
2024-02-06,187.3536834716797,68.18501281738281,191.29428100585938,482.06292724609375,87.35672760009766,56.20000076293945
2024-02-07,187.46255493164062,70.0599594116211,195.1551055908203,486.08343505859375,86.9339599609375,56.0
2024-02-08,186.38375854492188,69.60221099853516,197.93408203125,486.29815673828125,86.42845916748047,55.68000030517578
2024-02-09,187.14682006835938,72.09284973144531,202.32093811035156,489.1086730957031,86.25385284423828,56.08000183105469
2024-02-12,185.46212768554688,72.20777130126953,201.536865234375,488.8940124511719,86.35494995117188,57.279998779296875
2024-02-13,183.3711700439453,72.08784484863281,197.80506896972656,482.1604309082031,84.87525939941406,61.31999969482422
2024-02-14,182.48919677734375,73.8588638305664,201.7750701904297,486.5421447753906,85.3072280883789,58.279998779296875
2024-02-15,182.2017822265625,72.61753845214844,201.10015869140625,489.899169921875,85.74836730957031,57.68000030517578
2024-02-16,180.66578674316406,72.57255554199219,200.23667907714844,487.4595031738281,85.25208282470703,57.599998474121094
2024-02-20,179.9225616455078,69.41332244873047,196.2964630126953,484.7758483886719,85.32560729980469,59.47999954223633
2024-02-21,180.67568969726562,67.43443298339844,195.03599548339844,485.2149658203125,84.71902465820312,58.959999084472656
2024-02-22,182.70721435546875,78.49427795410156,208.35533142089844,495.2567138671875,85.13259887695312,57.84000015258789
2024-02-23,180.87391662597656,78.77311706542969,207.05516052246094,495.5982666015625,86.2722396850586,55.720001220703125
2024-02-26,179.5261688232422,79.04796600341797,208.77218627929688,493.7831115722656,86.014892578125,55.15999984741211
